Nombre;Movimiento;Tipo;PP;Precision;Damage;Efecto
Espora;Estado;Planta;5;3;-;Duerme tantos turnos como I.  La dispersion de esporas al ejecutar este movimiento es mucho mas agresiva que en otros de similares caracteristicas. Al inhalarlas, los Pokemon afectados adquieren el estado dormido durante tantos turnos como I.
Explosion;Fisico;Normal;20;3;12A;Tras ejecutar el movimiento, el usuario se debilita.  Este movimiento se trata de una forma mejorada y mas poderosa de Autodestruccion, a traves de la cual convierte toda su energia y vitalidad en un tremendo reventon que puede causar una verdadera catastrofe. Sin embargo, el cuerpo del Pokemon usuario acaba totalmente destrozado y caera debilitado instantaneamente sin reserva de PS.
Fisura;Fisico;Tierra;9;14;-;El golpe es fulminante y reduce los PS del objetivo a 0.  Sin duda, este es el movimiento potencialmente mas peligroso catalogado del tipo tierra, ya que el Pokemon consigue agrietar el suelo para atrapar al rival y acabar el combate con un solo movimiento. Aunque la precision inicial es 14, esta se reducira en 1 por cada 10 niveles que posea por encima del objetivo.
Foco energia;Estado;Normal;3;0;-;El resultado D4 sera golpe critico tantos turnos como I.  Las herramientas que utiliza el Pokemon para danar, asi como su propia percepcion, se hacen muy afiladas y con mas potencial del que tienen realmente. Esto hace que todo movimiento de ataque en el que se obtenga un doble 4 se considerara un golpe critico de la misma forma que si obtuviese un triple resultado.
Foco resplandor;Especial;Acero;5;3;4A+1;Con D6 penaliza la Def. Especial igual a B tantos turnos como B.  Este rayo de luz es creado a traves de la concentracion de metales. Si impacta en su objetivo y obtiene un doble 6, ademas del damage aplicara un penalizador a su Defensa especial igual a B durante el mismo numero de turnos.
Fortaleza;Estado;Normal;1;0;-;Bonifica la Defensa igual a B tantos turnos como I.  A traves de este sencillo movimiento, el Pokemon consigue que su cuerpo sea mas duro durante unos momentos. De esta manera, adquiere un bonificador a su Defensa igual a B durante tantos turnos como I.
Frio polar;Especial ;Hielo;10;14;-;El golpe es fulminante y reduce los PS del objetivo a 0.  Al ejecutar Frio polar, el Pokemon concentra una energia tan helada alrededor del objetivo que llega a la temperatura del cero absoluto. Si el movimiento es exitoso, el rival perdera toda su reserva de PS y caera debilitado. Inicialmente, la precision de este movimiento es de 14, pero se reducira en 1 por cada 10 niveles que el usuario tenga por encima del objetivo.
Fuego fatuo;Estado;Fuego;4;8;-;Quema al objetivo igual a B durante tantos turnos como I.  Esta llama azulada afecta al cuerpo del objetivo generando quemaduras duraderas. Durante tantos turnos como I, el rival adquirira el estado quemado y perdera tantos PS como B al final de cada turno.
Fuerza bruta;Fisico ;Lucha;6;3;6A+I;El usuario penaliza su Ataque y Defensa igual a B tantos turnos como B.  El Pokemon que utiliza este movimiento saca a relucir su fuerza mas salvaje, pudiendo realizar verdaderas proezas fisicas e infligiendo un gran damage al rival. Sin embargo, este descontrol es tal que, durante tantos turnos como B, el usuario vera penalizado tanto su Ataque como su Defensa igual a B.
Fuerza lunar;Especial;Hada;4;3;5A+I;Con D3 reduce el Ata. Especial igual a B tantos turnos como B.  Con este movimiento, el Pokemon concentra la energia de la luna en una esfera que lanza contra su rival. Si obtiene un doble 3, el objetivo adquirira un penalizador a su Ataque especial igual a B durante tantos turnos como B.
Garra dragon;Fisico;Dragon;4;3;4A+I;Las garras del Pokemon adquieren un tono aguamarina y ataca con la fuerza de un dragon.
Garra metal;Fisico;Acero;2;6;2A+I;Con D6 bonifica el Ataque igual a B tantos turnos como B.  Al endurecer con metal sus garras, el Pokemon no solo ataca con mas fuerza, sino que si obtiene un doble 6, esta cristalizacion se mantiene tantos turnos como B y ofrece un bonificador a su Ataque igual a B.
Gas venenoso;Estado;Veneno;2;7;-;Envenena igual a B tantos turnos como I.  El Pokemon expulsa un gas cargado de veneno, el cual puede ser peligroso para quien lo inhale. Los Pokemon afectados adquiriran el estado envenenado y perderan tantos PS como B al final de su turno durante tantos turnos como I.
Gigadrenado;Especial ;Planta;5;3;4A+B;El usuario recupera tantos PS como la mitad del damage.  Si de movimientos del tipo planta hablamos, este es uno de los mas peligrosos. Gracias a unas raices de energia que genera el Pokemon, el objetivo queda atrapado y pierde gran parte de su vitalidad en un instante. Ademas de esto, el usuario absorbe tantos PS como la mitad del damage infligido redondeado a la baja.
Gigaimpacto;Fisico ;Normal;6;7;8A;El usuario penaliza su Impulso igual a I en el siguiente asalto.  Cuando ejecuta este temible ataque, el Pokemon arremete con muchisima energia, pudiendo enviar a su rival a muchos metros de distancia. No obstante, Gigaimpacto requerira que su usuario recupere el aliento tras realizarlo, por lo que en su siguiente asalto vera penalizado su Impulso tantos puntos como I.
Giro fuego;Especial ;Fuego;4;8;2A;Damage adicional igual a B tantos turnos como I.  Con este movimiento, el Pokemon lanza un chorro de fuego de baja intensidad pero de gran duracion que danza alrededor del Pokemon objetivo. Durante tantos turnos como I, el movimiento se mantendra e infligira un damage igual a B. El Pokemon afectado podra moverse con normalidad.
Giro rapido;Fisico;Normal;2;3;2A+I;Aumenta la Velocidad igual a B tantos turnos como B y libera de movimientos.  El Pokemon gira sobre si mismo a gran velocidad y se lanza contra el oponente. Gracias a este giro, su Velocidad aumentara tanto como B durante el mismo numero de turnos. Ademas, si se viera afectado por movimientos como Atadura, Constriccion, Drenadoras, Giro fuego o Torbellino, estos se disiparan y dejaran de tener efecto.
Giro vil;Fisico;Siniestro;3;3;3A+B;Aunque puede confundirse con un movimiento de artes marciales, lo cierto es que el usuario toma al rival de forma violenta y lo lanza contra el suelo tras voltearlo en el aire... ¡sin cuidado ni tecnica alguna!
Golpe;Fisico;Normal;5;3;6A+I;Ataca tantos turnos como I y despues adquiere confusion tantos turnos como I.  Dejarse llevar puede ser demoledor para el rival, pero tambien tiene sus consecuencias. El Pokemon repetira Golpe tantos turnos como el resultado I de la primera prueba (ademas del primer ataque). Al perder el control y dedicarse a golpear sin mesura, no podra parar de atacar, pudiendo incluso atacar a aliados si sus enemigos ya han sido derrotados. Este movimiento es tan frenetico que, cuando haga su ultima prueba, debera tener en cuenta el resultado de l, ya que sera el numero de turnos en los que sufrira el estado confuso.
Golpe aereo;Fisico;Volador;3;0;3A+B;El movimiento nunca falla.  Este ataque se ejecuta desde el aire, cayendo en picado hacia el objetivo y cogiendolo por sorpresa. Golpe aereo nunca falla con independencia de la Precision del usuario o la Evasion del rival.
Golpe bajo;Fisico;Siniestro;6;3;4A;Bonifica el Impulso igual a B en el siguiente asalto.  Golpe bajo es un ataque a traicion que golpea el estomago del adversario o le hace una zancadilla. Esto hace que el usuario tenga una mejor reaccion y obtenga un bonificador a su impulso igual a B en su siguiente asalto.
Golpe cabeza;Fisico;Normal;4;3;4A;Con D3 reduce el Impulso igual a B en el siguiente asalto.  Este movimiento es un golpe simple con la particularidad de que el Pokemon ataca con su cabeza. Si obtiene un doble 3 en el resultado de los pokedados, el rival vera reducido su impulso en el siguiente asalto tantos puntos como B.
Golpe cuerpo;Fisico;Normal;4;3;5A;Con D3 paraliza tantos turnos como B.  El Pokemon salta hacia su rival y ataca con todo su cuerpo. Si obtiene un doble 3, el objetivo adquirira el estado paralizado durante tantos turnos como B.
Golpes furia;Fisico;Normal;3;8;A;Realiza tantos ataques como I en un turno.  Utilizando sus garras, el Pokemon lanza varios ataques rapidos. En la primera prueba, el resultado de I determinara cuan- tos ataques ademas del primero realizara el usuario en el mismo turno. Cada ataque tiene su propio calculo de Precision.
Granizo;Estado;Hielo;6;-;-;Genera un granizo que dura tantos turnos como A.  El Pokemon invoca una tormenta de granizo que invade el campo de batalla. Todos los Pokemon perderan 5 PS al final de cada turno excepto aquellos que sean de tipo hielo. Este granizo durara tantos turnos como A, pero si se usa en un entorno que no sea al aire libre, su duracion sera de tantos turnos como B.
Grunido;Estado;Normal;1;3;-;Reduce el Ataque igual a B tantos turnos como I.  Al emitir este grunido, el Pokemon que lo presencia decide ser cauteloso. Durante tantos turnos como I, el Pokemon afectado tendra un penalizador a su Ataque igual a B.
Guillotina;Fisico ;Normal;10;14;-;El golpe es fulminante y reduce los PS del objetivo a 0.  Los Pokemon que poseen pinzas pueden concentrar mucha energia en ellas para convertirlas en armas increibles. Si consiguen acertar con Guillotina, el rival perdera todos sus PS y caera debilitado. Aunque la precision de este movimiento es de 14, se reducira en 1 por cada 10 niveles que el usuario tenga por encima del objetivo.
Hidrobomba;Especial ;Agua;6;8;6A+B;Hidrobomba es uno de los movimientos mas devastadores de los Pokemon de tipo agua. Al ejecutarlo, el usuario expulsa un tremendo chorro de agua.
Hidropulso;Especial;Agua;3;3;3A+B;Con D5 confunde tantos turnos como B.  Esta esfera de agua concentrada impacta con fuerza y desorienta con facilidad al objetivo. Si obtiene doble 5, el objetivo adquirira el estado confundido durante tantos turnos como B.
Hipercolmillo;Fisico ;Normal;4;7;4A+I;Con D3 el objetivo retrocedera en el siguiente asalto.  Al propinar el mordisco, el Pokemon utiliza las partes mas afiladas de sus dientes. Si obtiene doble 3 en la prueba, el objetivo quedara amedrentado y no podra actuar en su siguiente turno debido a la sorpresa.
Hiperrayo;Especial ;Normal;6;7;8A;El usuario penaliza su Impulso igual a I en el siguiente asalto.  El Pokemon canaliza su energia de tal forma que la libera en un potentisimo rayo. Este movimiento, aunque poderoso, tambien fatiga al Pokemon que lo utiliza, por lo que en el siguiente asalto obtendra un penalizador a su Impulso igual a I.
Hipnosis;Estado;Psiquico;3;10;-;Duerme tantos turnos como I.  Utilizando una tecnica hipnotica, un Pokemon puede dormir a otro siempre que consiga que se fije en su senuelo el tiempo suficiente. Si surte efecto, el objetivo adquirira el estado dormido tantos turnos como I.
Hoja afilada;Fisico;Planta;3;6;3A;Con D5 es un golpe critico.  El Pokemon lanza sus hojas con tanta fuerza que se vuelven muy cortantes. Si obtiene un doble 5 o mas, el ataque se considerara critico igual que si hubiese obtenido un triple resultado.
Hoja aguda;Fisico;Planta;5;3;5A+B;Con D6 es un golpe critico.  Gracias a una extremidad que utiliza a modo de hoja cortante, el Pokemon ataca. Si obtiene un doble 6, el ataque se considerara critico de la misma manera que si hubiese obtenido un triple resultado.
Huesomerang;Fisico;Tierra;4;7;2A+I;Ataca 2 veces en un mismo turno.  La familia evolutiva de Cubone son capaces de utilizar su hueso como si fuera un bumeran, de tal manera que puede golpear al lanzarlo y tambien a su vuelta. En el mismo turno, el Pokemon atacara dos veces. Cada ataque tendra su propia prueba y calculo de damage y precision. El segundo ataque tambien se ejecutara, aunque el primero falle.
Hueso sombrio;Fisico ;Fantasma;5;3;5A;Con D4 penaliza la Defensa igual a B tantos turnos como B.  En su condicion de Pokemon fantasmal, los Marowak que provienen de Alola pueden golpear con su hueso tras cargarlo con su energia tenebrosa. Si el usuario obtiene un doble 4, la Defensa del objetivo se vera penalizada igual a B durante tantos turnos como B.
Impactrueno;Especial;Electrico;2;3;2A+B;Con D6 paraliza tantos turnos como B.  Convirtiendo su energia en electricidad, el Pokemon puede atacar con una pequena descarga. Si obtiene un doble 6, el objetivo quedara paralizado durante tantos turnos como B.
Infierno;Especial ;Fuego;6;11;6A;Quema igual a B tantos turnos como l.  Al utilizar este movimiento, el Pokemon lanza una onda de fuego tan descontrolada que le resulta dificil apuntar al objetivo. Si consigue acertar, ademas del damage siempre causara el estado quemado, infligiendo tantos PS como B al final de cada turno durante tantos turnos como I.
Infortunio;Especial ;Fantasma;5;3;3A+1;Si el objetivo sufre un estado alterado, el damage sera 7A+B.  El Pokemon invoca fuerzas fantasmales que perturban la mente del objetivo y amplifican los posibles damages que sufra en ese momento. Si el rival esta sufriendo algun estado alterado (confuso, congelado, dormido, envenenado, paralizado o quemado), el damage sera 7A+B.
Joya de luz;Especial;Roca;3;3;4A+I;Gracias a una parte rocosa de su cuerpo o a alguna piedra preciosa, el Pokemon consigue liberar su energia en forma de rayo.
Kinetico;Estado;Psiquico;4;8;-;Penaliza la Precision igual a B tantos turnos como I.  Kinetico es un movimiento muy especial, ya que solo Kadabra y Alakazam pueden llevarlo a cabo. Por esta razon, se desconoce mucho sobre el, pero si observamos que utilizan sus cucharas para afectar a la psique del objetivo. Lo que consiguen es imponer un penalizador a la Precision del rival igual a B durante tantos turnos como I.
Lanzamugre;Fisico ;Veneno;6;8;6A+1;Con D3 envenena B tantos turnos como B.  Literalmente, el Pokemon genera o recauda una gran cantidad de basura que amontona y lanza como un tremendo proyectil. Debido a su pestilencia, si obtiene un doble 3 el objetivo adquirira el estado envenenado y perdera tantos PS como B durante tantos turnos como B.
Lanzallamas;Especial;Fuego;3;3;5A+B;Con D6 quema 1 tantos turnos como B.  Este rayo de fuego se ejecuta de forma rapida y resulta muy peligrosa para el objetivo. Si obtiene un doble 6, el objetivo adquirira el estado quemado y perdera 1 PS al final de cada turno durante tantos turnos como B.
Lanzarrocas;Fisico;Roca ;3;7;2A+I;El Pokemon se deshace de una parte rocosa de su cuerpo para lanzarla contra el objetivo.
Latigazo;Fisico;Planta;5;8;6A+1;Este tremendo golpe utiliza una de las extremidades del Pokemon como un gran latigo.
Latigo;Estado;Normal;1;3;-;Reduce la Defensa igual a B tantos turnos como I.  El Pokemon ensena su cola y la mueve de forma graciosa, provocando asi que su rival lo subestime y baje la guardia. La Defensa del objetivo disminuye tanto como B durante tantos turnos como I.
Latigo cepa;Fisico;Planta;2;3;2A+I;El Pokemon golpea utilizando lianas o ramas extensibles a modo de latigo.
Leviton;Estado ;Electrico;5;-;-;El usuario es inmune a los ataques de tipo tierra tantos turnos como I.  Aprovechandose del magnetismo terrestre y de su propia energia electrica, el Pokemon es capaz de hacer un efecto de iman y que su cuerpo se mantenga levitando. Gracias a ello, el usuario sera inmune a los ataques de tipo tierra durante tantos turnos como I.
Llama final;Fisico ;Fuego;6;3;7A+B;El usuario pierde el tipo fuego tantos turnos como A.  Algunos Pokemon de tipo fuego adquieren tanto control de su fuego interior que pueden liberarlo casi por completo. Al hacerlo, su cuerpo se convierte en una explosion fulgurante y le permite atacar con muchisima energia. No obstante, durante tantos turnos como A el Pokemon habra consumido tanto su fuego que, a efectos de combate, se considerara que no posee el tipo fuego. Si no posee otro tipo, no tendra resistencias ni debilidades ante ningun ataque. Tampoco podra usar ningun movimiento de tipo fuego mientras perdure este estado.
Llamarada;Especial ;Fuego;6;8;6A+B;Con D6 quema 1 tantos turnos como B.  Llamarada es uno de los movimientos de fuego mas poderosos. Cuando se ejecuta, el Pokemon lanza un gran chorro de fuego que dibuja el simbolo de este elemento e impacta contra el rival. Si obtiene un doble 6, el objetivo adquirira el estado quemado y perdera 1 PS al final de cada turno durante tantos turnos como B.
LengÃ¼etazo;Fisico;Fantasma;2;3;IA;Con D3 paraliza tantos turnos como B.  Al lamiscar al rival, el Pokemon segrega una sustancia danina que afecta a los musculos del objetivo. Si obtiene un doble 3, el objetivo adquirira el estado paralizado durante tantos turnos como B.
Luz lunar;Estado;Hada;6;-;-;Sana 5A+1 por nivel.  El Pokemon ha aprendido a absorber el poder de los rayos de la luna para convertirlos en energia sanadora. Al ejecutar este movimiento, el Pokemon sana tantos PS como 5A +1 por nivel siempre y cuando se pueda ver la luna desde el campo de batalla. De lo contrario, Luz lunar sanara 2A+I +1 por nivel.
Malicioso;Estado ;Normal;1;3;-;Penaliza Defensa igual a B tantos turnos como I.  A causa de la escalofriante mirada que lanza el Pokemon a su rival, este obtiene un penalizador a su Defensa igual a B durante tantos turnos como I.
Maquinacion;Estado;Siniestro;4;-;-;Bonifica el Ataque especial igual a I tantos turnos como I.  El Pokemon analiza la situacion y preve lo que pueda ocurrir para poder pensar menos y concentrar su energia en los siguientes turnos. Maquinacion bonificara el Ataque especial del usuario igual a I durante el mismo numero de turnos.
Martillazo;Fisico ;Agua;5;7;6A;Con D6 sera un golpe critico.  Envolviendo su pinza en un gran manto de agua, el Pokemon ataca desde arriba y golpea como si de un martillazo se tratase. Si obtiene un doble 6, el golpe sera tan fuerte que se considerara un golpe critico de la misma forma que si hubiese obtenido un triple resultado.
Martillo dragon;Fisico;Dragon;4;3;5A+B;Los Exeggutor de Alola demuestran su alma de dragon a traves de este movimiento, con el cual golpean el suelo con su cabeza y arrasan con lo que se interponga en su camino.
Mazazo;Fisico;Planta;4;3;6A+1;El usuario pierde PS igual a 2A+B.  A costa de su propia salud, el usuario convierte una de sus extremidades en una maza de energia natural con la que ataca. Este golpe dana tambien el cuerpo del usuario, perdiendo asi tantos PS como 2A+B. Este damage es fijo y no puede reducirse con sus defensas.
Megaagotar;Especial ;Planta;4;3;2A+B;El usuario recupera tantos PS como la mitad del damage.  A traves de un rayo verde de energia natural, el usuario absorbe la vitalidad de su objetivo y recupera parte de ella. Gracias a esto, el Pokemon recupera tantos PS como la mitad del damage infligido redondeado a la baja.
Megacuerno;Fisico;Bicho ;5;8;6A+I;Al concentrar mucha energia en su cuerno, el Pokemon no presta la atencion necesaria al ejecutarlo y a menudo suele fallar. No obstante, el movimiento puede ser letal si alcanza su objetivo.
Megapatada;Fisico;Normal;6;9;6A+1;Utilizando este movimiento, el Pokemon pone toda la carne en el asador para golpear con una tremenda patada.
Megapuno;Fisico;Normal;3;8;4A+I;Aunque parezca un movimiento sencillo, este punetazo requiere de una buena concentracion. Si acierta, puede infligir una gran cantidad de damage.
Mimetico;Estado ;Normal;4;-;-;Copia uno de los movimientos del objetivo.  El Pokemon conoce la tecnica de copiar los movimientos del rival, incluso aquellos que no podria ejecutar de forma normal. Para copiar un movimiento, primero debe haber visto como el objetivo lo realiza. Puede mantener la capacidad de usar el movimiento gastando 4 PP al final de cada turno.
Moluscanon;-;Veneno;5;3;5A+B;Con D5 envenena igual a B tantos turnos como B. Ademas, el usuario decide si sera un ataque fisico o especial.  Los Slowbro de Galar cuentan con una herramienta muy util para ejecutar sus ataques, que es su brazo venenoso. Cuando ejecutan este ataque, pueden decidir golpear con el o lanzar a distancia un chorro de puro veneno. De esta forma, cuando la PJ realiza el ataque puede decidir como hacerlo, siendo un ataque fisico en el primer caso y un ataque especial en el segundo. Ademas de esto, si obtiene un doble 5 el objetivo adquirira el estado envenenado y perdera tantos PS como B al final de su turno durante tantos turnos como B.
Mordisco;Fisico;Siniestro;2;3;3A+B;Con D3 reduce el Impulso igual a B en el siguiente asalto.  Como su nombre indica, con este movimiento el Pokemon propina un mordisco. Esto puede ser tan molesto que, si obtiene un doble 3, el rival no podra hacer nada en su siguiente turno.
Niebla;Estado ;Hielo;2;-;-;Restaura las caracteristicas de todos los Pokemon tantos turnos como I.  La neblina que expulsa el usuario tiene efectos relajantes que afectan al cuerpo de los Pokemon presentes. De esta forma, todas sus caracteristicas (Ataque, Defensa, Ataque especial, Defensa especial, Velocidad, Precision y Evasion) vuelven a su estado original, tanto si estan bonificadas como penalizadas. Ademas, durante tantos turnos como I ningun Pokemon podra modificar estas caracteristicas.
Nieve polvo;Especial;Hielo;2;3;2A+B;Con D6 congela tantos turnos como B.  El Pokemon expulsa un chorro con una fina capa de nieve que se clava en el cuerpo del rival, pudiendo congelarlo. Si obtiene un doble 6, el objetivo adquiere el estado congelado durante tantos turnos como B.
Onda ignea;Especial ;Fuego;5;7;5A+I;Con D6 quema 1 tantos turnos como B.  Como si se tratase de un pulso vital, el Pokemon extiende una onda de fuego a su alrededor que se ira apagando al alejarse del usuario. Si obtiene un doble 6, cualquier Pokemon afectado adquirira el estado quemado y perdera 1 PS al final de cada turno durante tantos turnos como B.
Onda mental;Especial ;Psiquico;5;3;6A;El damage se reduce con Defensa.  Este movimiento solo puede usarlo Mewtwo, ya que sus poderes psiquicos son los unicos capaces de controlar su ejecucion. Con Onda mental, el Pokemon concentra su energia en una bola de energia que lanza contra el rival, haciendole creer que impacta en su cuerpo cuando es su mente la que se esta danando. Por ello, el damage de este ataque se reducira con Defensa y no Defensa especial a pesar de tratarse de un ataque especial. Las protecciones que reduzcan el damage de los ataques especiales seguiran siendo efectivas.
Onda toxica;Especial;Veneno;5;3;5A+I;Con D6 envenena igual a B tantos turnos como B.  El veneno que genera el Pokemon se expande en forma de ola en todas las direcciones. Si obtiene un doble 6 en la prueba, cualquier Pokemon afectado adquirira el estado envenenado y perdera tantos PS como B al final de cada turno durante tantos turnos como B.
Onda trueno;Estado;Electrico;3;7;-;Paraliza tantos turnos como I.  Esta leve descarga electrica no pretende danar, sino atrofiar los musculos. Por ello, el Pokemon afectado adquiere el estado paralizado durante tantos turnos como I.
Pajaro osado;Fisico;Volador;4;3;6A+I;El usuario pierde tantos PS como 2A+B.  Algunos Pokemon capaces de volar se alzan a gran altura y se lanzan para placar al rival con toda su fuerza. Aunque fuerte, este movimiento es arriesgado y el usuario perdera tantos PS como 2A+B. Este damage es fijo y no puede reducirse con sus defensas.
Pantalla de humo;Estado;Normal;3;3;-;Baja la Precision tanto como B durante tantos turnos como I.  Ya sea con polucion o con humo generado con fuego, el Pokemon tiene la capacidad de expulsar una nube que dificulta la vision. Los Pokemon afectados obtienen una penalizador a la Precision igual a B durante tantos turnos como I.
Pantalla de luz;Estado;Psiquico;6;-;-;Multiplica la Def. Especial del usuario por 2 tantos turnos como I.  Esta barrera psiquica invisible envuelve tanto al usuario como a sus aliados, doblando asi su Defensa especial. Pantalla de luz se mantendra activo tantos turnos como I.
Paralizador;Estado ;Planta;4;9;-;Causa paralizacion tantos turnos como I.  Al respirar las esporas que lanza el Pokemon, sus objetivos notaran que su cuerpo no les responde. Durante tantos turnos como I adquiriran el estado paralizado. Este movimiento no afecta a los Pokemon de tipo planta.
Paranormal;Especial ;Psiquico;3;3;4A+I;Con D6 reduce el Impulso igual a B en el siguiente asalto.  Paranormal se trata de un ataque extrasensorial que dana la psique del objetivo. Ademas, la experiencia de vivir este ataque puede ser tal que, si el usuario obtiene un doble 6, el rival no podra ejecutar ningun movimiento en su siguiente turno.
Patada baja;Fisico;Lucha;3;3;Variable;El damage depende del peso del Pokemon objetivo.  Con este movimiento de artes marciales, el Pokemon ataca el tren inferior para hacer que el verdadero golpe sea la caida del rival al suelo. Por esta razon, el damage dependera del peso promedio del objetivo, siendo 2A+B hasta 25 kilos, 4A+1 hasta 100 kilos y 6A+I si su peso es superior.
Patada salto alta;Fisico ;Lucha;5;7;7A+B;Si el movimiento falla, el usuario pierde tantos PS como 3A+I.  El Pokemon realiza un gran salto y desciende para propinar una patada a su rival. Aunque se trate de un golpe muy fuerte, puede suponer un riesgo para el usuario si el objetivo consigue esquivarlo. En este caso, el Pokemon que realice Patada salto alta perdera tantos PS como 3A+1. Este damage no se vera bonificado por su caracteristica de Ataque, pero tampoco podra ser reducido por sus defensas.
Paz mental;Estado;Psiquico;4;-;-;Bonifica el Ata. Especial y la Def. Especial igual a B tantos turnos como I.  A traves de tecnicas de meditacion, el usuario calma rapidamente su mente y aumenta asi sus capacidades especiales. Durante tantos turnos como I, el Pokemon adquirira un bonificador a su Ataque especial y Defensa especial igual a B.
Pedrada;Fisico ;Roca;5;7;BA;Realiza tantos ataques como I en un turno.  Con este movimiento, el Pokemon genera piedras de su propio cuerpo y lanza una tras otra a su objetivo. En la primera prueba, el resultado de I determinara cuantos ataques ademas del primero realizara el usuario en el mismo turno. Cada ataque tiene su propio calculo de Precision.
Perforador;Fisico;Normal;10;14;-;El golpe es fulminante y reduce los PS del objetivo a 0.  El cuerno del Pokemon empieza a girar tan rapido que su potencia de ataque llega a niveles extraordinarios. Si el objetivo es alcanzado por este cuerno, perdera todos sus PS de forma instantanea y caera debilitado. Aunque la precision de este movimiento es de 14, esta se reducira en 1 por cada 10 niveles que el usuario tenga por encima del objetivo.
Picadura;Fisico;Bicho;3;3;3A+B;El Pokemon, a menudo con rasgos de insecto, propina una fuerte mordedura.
Pico taladro;Fisico;Volador;3;3;4A+I;El Pokemon canaliza su energia en su pico, haciendo que este parezca girar como un taladro y provocando un gran damage a su rival.
Picotazo;Fisico;Volador;1;3;2A;En este ataque, el Pokemon emplea su pico u otra parte punzante de su cuerpo.
Picotazo veneno;Fisico;Veneno;1;3;I;Con D3 envenena igual a B tantos turnos como B.  Utilizando una extremidad punzante o lanzando agujas envenenadas, el Pokemon ataca a su objetivo. Si obtiene un doble 3, el rival adquirira el estado envenenado y perdera tantos PS como B al final de su turno durante tantos turnos como B.
Pin misil;Fisico;Bicho;3;6;BA;Realiza tantos ataques como I en un mismo turno.  El Pokemon genera agujas de energia que lanza en varias tandas y se acercan al objetivo como si de misiles se tratasen. En la primera prueba se calculara el primer ataque y, en caso de acertar, el resultado de I dictara cuantas veces mas atacara. Cada ataque tiene su propia precision, pero el Pokemon no parara de atacar aunque falle algun ataque a partir del segundo.
Pisoton;Fisico;Normal;3;3;3A+I;Se trata de un sencillo pero potente ataque en el que el Pokemon aplasta a su rival con sus pies o patas.
Pistola agua;Especial;Agua;2;3;2A+B;Se trata de un chorro de agua a presion que impacta en el objetivo.
Placaje;Fisico;Normal;1;3;2A+B;Con este movimiento basico, el Pokemon aplaca a su rival tras una pequena carrera.
Polucion;Especial ;Veneno;3;9;IA;Con D2 envenena igual a B tantos turnos como B.  El gas que el Pokemon exhala recuerda a la contaminacion de las grandes urbes, siendo danino para los Pokemon afectados. Ademas, es tan venenoso que si obtiene un doble 2 en la prueba, los rivales adquiriran el estado envenenado y perderan tantos PS como B al final de su turno durante el mismo numero de turnos.
Polvo veneno;Estado;Veneno;2;9;-;Envenena igual a B tantos turnos como I.  El Pokemon expulsa un chorro de polvo venenoso. Todo Pokemon que se vea afectado adquirira el estado envenenado, el cual le restara tantos PS como B al final de su turno durante tantos turnos como I. Este movimiento no afecta a los Pokemon de tipo planta.
Psicocarga;Especial ;Psiquico;5;3;4A+I;El damage se reduce con Defensa.  El poder psiquico puede hacer cosas extraordinarias, tantas como confundir a la mente hasta el punto de pensar que un ataque podria estar atacando a la voluntad cuando realmente lo hace al cuerpo. Aunque este ataque sea de categoria especial y el usuario utilice su Ataque especial para bonificar el damage, el objetivo lo reducira con su caracteristica Defensa y no con Defensa especial, como haria habitualmente.
Psicocorte;Fisico;Psiquico;3;3;4A;Con D6 sera un golpe critico.  Los pequenos rayos de poder psiquico que lanza el Pokemon estan tan concentrados que, al contacto con el cuerpo, son iguales que cuchillos afilados. Si obtiene un doble 6 en la prueba, el ataque se considerara critico de la misma forma que si hubiese obtenido un triple resultado.
Psicorrayo;Especial ;Psiquico;3;3;3A+1;Con D6 confunde tantos turnos como B.  Concentrando el poder de su mente, el usuario consigue materializar energia que lanza en forma de rayo. Si obtiene un doble 6, el objetivo adquirira el estado confuso durante tantos turnos como B.
Psiquico;Especial ;Psiquico;5;3;5A+B;Con D6 penaliza la Def. Especial igual a B tantos turnos como B.  Esta es una de las mayores muestras del poder mental de un Pokemon, pudiendo elevar a su rival en el aire y atacar su mente usando sus poderes psiquicos. Si obtiene un doble 6, la Defensa especial del objetivo se vera penalizada tanto como B durante el mismo numero de turnos.
Pulimento;Estado;Roca;4;-;-;Bonifica la Velocidad igual a I tantos turnos como I.  Utilizando su propia energia, el Pokemon hace que sus partes rocosas se pulan de tal forma que su cuerpo adquiera mas velocidad. Durante tantos turnos como I, el Pokemon bonificara su Velocidad igual a l.
Pulso cura;Estado;Psiquico;6;-;-;Sana 5A +1 por nivel a otro Pokemon.  El Pokemon genera una onda desde su propio cuerpo que sanara las heridas de aquellos Pokemon cercanos que entren en contacto con ella. Pulso cura sana tantos PS como 5A + 1 por nivel del Pokemon usuario. Este movimiento no puede sanar al Pokemon que lo utiliza.
Pulso dragon;Especial;Dragon;5;3;4A+I;La energia que expulsa el Pokemon en forma de rayo atrapa y golpea al rival como si de un dragon se tratase.
Pulso umbrio;Especial;Siniestro;4;3;6A;Con D4 reduce el Impulso igual a B en el siguiente asalto.  Este rayo se genera a traves de energia oscura, haciendo damage y dejando una extrana sensacion en el cuerpo del objetivo. Gracias a ello, si el usuario obtiene un doble 4 hara que el rival se amedrente y no pueda realizar ningun movimiento en su siguiente turno.
